price,alcohol,class
7.70,4.20,beer
3.90,4.70,beer
12.90,6.50,beer
9.99,5.00,beer
14.50,7.80,beer
11.21,6.00,beer
9.79,5.40,beer
8.75,5.40,beer
13.20,6.00,beer
10.50,9.80,beer
6.10,0.00,beer
9.20,5.60,beer
30.90,11.00,beer
10.41,4.00,beer
4.80,5.60,beer
9.99,7.00,beer
18.91,10.10,beer
13.51,9.50,beer
10.50,5.80,beer
32.25,6.00,beer
6.90,10.50,wine
12.71,12.00,wine
15.44,11.50,wine
16.49,13.00,wine
16.99,11.00,wine
19.99,11.50,wine
6.00,13.00,wine
21.89,13.00,wine
22.99,12.00,wine
24.90,10.00,wine
49.99,14.50,wine
36.00,12.50,wine
54.89,14.50,wine
59.90,19.50,wine
14.99,11.00,wine
23.10,11.00,wine
15.00,10.00,wine
14.00,13.50,wine
10.00,10.50,wine
28.99,13.00,wine
